1100,1000,0000,0001,0011,0111,1111,1110,1101,1010,0100,0010,0101,1011,1001,0110,label
18991,16548,6004,16548,18893,15268,16889,15268,14376,10513,15533,15631,10611,14474,17976,18098,1
18922,16530,5997,16530,18858,15255,16877,15255,14395,10551,15588,15652,10615,14459,17980,18061,1
11624,10113,3692,10113,11536,9360,10363,9360,8792,6425,9484,9572,6513,8880,10995,11055,0
18976,16517,6003,16517,18886,15259,16814,15259,14419,10507,15534,15624,10597,14509,17993,18135,1
18978,16535,5997,16535,18874,15272,16875,15272,14375,10503,15524,15628,10607,14479,17967,18080,1
18974,16525,6004,16525,18864,15288,16869,15288,14379,10518,15549,15659,10628,14489,17998,18064,1
18951,16499,6000,16499,18870,15284,16859,15284,14403,10567,15573,15654,10648,14484,18025,18069,1
11612,10111,3706,10111,11534,9394,10390,9394,8824,6421,9477,9555,6499,8902,10978,11041,0
11647,10105,3690,10105,11554,9376,10330,9376,8817,6426,9466,9559,6518,8909,11008,11087,0
11635,10127,3699,10127,11539,9392,10359,9392,8827,6405,9482,9578,6501,8923,10990,11069,0
18942,16523,6004,16523,18833,15297,16814,15297,14404,10505,15560,15669,10614,14513,17979,18048,1
18995,16528,6044,16528,18887,15269,16869,15269,14389,10496,15519,15627,10604,14497,17986,18114,1
18965,16530,5978,16530,18862,15277,16867,15277,14403,10515,15571,15674,10618,14506,18006,18090,1
11651,10109,3695,10109,11538,9391,10382,9391,8802,6392,9467,9580,6505,8915,11009,11061,0
18978,16517,6017,16517,18866,15281,16906,15281,14330,10513,15551,15663,10625,14442,18012,18026,1
18969,16506,5993,16506,18861,15292,16917,15292,14381,10513,15543,15651,10621,14489,18006,18057,1
11646,10103,3697,10103,11541,9390,10359,9390,8820,6391,9471,9576,6496,8925,11014,11075,0
18966,16528,6008,16528,18883,15286,16843,15286,14437,10540,15544,15627,10623,14520,17982,18116,1
11633,10136,3718,10136,11540,9388,10387,9388,8819,6398,9474,9567,6491,8912,10971,11063,0
11637,10093,3703,10093,11572,9389,10391,9389,8840,6428,9472,9537,6493,8905,11016,11087,0
11632,10125,3684,10125,11541,9380,10322,9380,8836,6410,9491,9582,6501,8927,10998,11087,0
18981,16514,6012,16514,18886,15297,16908,15297,14420,10507,15525,15620,10602,14515,17992,18103,1
11641,10105,3692,10105,11539,9400,10344,9400,8842,6402,9469,9571,6504,8944,11005,11082,0
18971,16520,6005,16520,18877,15293,16917,15293,14397,10526,15540,15634,10620,14491,17991,18074,1
19001,16524,5983,16524,18894,15322,16912,15322,14423,10498,15522,15629,10605,14530,17999,18101,1
11669,10112,3708,10112,11546,9382,10348,9382,8824,6394,9430,9553,6517,8947,10987,11110,0
11603,10105,3717,10105,11521,9373,10357,9373,8804,6443,9508,9590,6525,8886,11006,11033,0
11665,10098,3694,10098,11561,9398,10377,9398,8813,6387,9466,9570,6491,8917,11033,11079,0
18983,16517,5991,16517,18882,15284,16872,15284,14398,10502,15550,15651,10603,14499,18016,18096,1
