LMS.exe_num_handles,LMS.exe_paged_pool,LMS.exe_pagefile,LMS.exe_peak_paged_pool,LMS.exe_peak_pagefile,LMS.exe_peak_wset,LMS.exe_user,OfficeClickToRun.exe_paged_pool,OfficeClickToRun.exe_peak_nonpaged_pool,SecurityHealthService.exe_num_handles,SecurityHealthService.exe_paged_pool,SecurityHealthService.exe_pagefile,SecurityHealthService.exe_peak_nonpaged_pool,SecurityHealthService.exe_peak_pagefile,SecurityHealthService.exe_peak_wset,SecurityHealthService.exe_read_bytes,SecurityHealthService.exe_read_count,SecurityHealthService.exe_user,SecurityHealthService.exe_write_bytes,SecurityHealthService.exe_write_count,SecurityHealthSystray.exe_ionice,SecurityHealthSystray.exe_nonpaged_pool,SecurityHealthSystray.exe_num_handles,SecurityHealthSystray.exe_paged_pool,SecurityHealthSystray.exe_pagefile,SecurityHealthSystray.exe_peak_pagefile,SecurityHealthSystray.exe_peak_wset,SecurityHealthSystray.exe_rss,SecurityHealthSystray.exe_system,SecurityHealthSystray.exe_user,SgrmBroker.exe_num_handles,SgrmBroker.exe_peak_paged_pool,SgrmBroker.exe_peak_pagefile,SgrmBroker.exe_peak_wset,ShellExperienceHost.exe_ionice,ShellExperienceHost.exe_num_handles,ShellExperienceHost.exe_paged_pool,ShellExperienceHost.exe_pagefile,ShellExperienceHost.exe_peak_pagefile,ShellExperienceHost.exe_peak_wset,ShellExperienceHost.exe_system,ShellExperienceHost.exe_user,StartMenuExperienceHost.exe_peak_nonpaged_pool,calc.exe_nice,calc.exe_num_handles,ctfmon.exe_ionice,ctfmon.exe_num_handles,ctfmon.exe_paged_pool,ctfmon.exe_pagefile,ctfmon.exe_peak_nonpaged_pool,ctfmon.exe_peak_pagefile,ctfmon.exe_peak_wset,ctfmon.exe_rss,explorer.exe_peak_wset,lsass.exe_connections_info,lsass.exe_num_handles,lsass.exe_paged_pool,lsass.exe_pagefile,lsass.exe_peak_nonpaged_pool,lsass.exe_peak_paged_pool,lsass.exe_peak_pagefile,lsass.exe_peak_wset,mimikatz.exe_peak_nonpaged_pool,mshta.exe_other_count,msiexec.exe_connections_info,powershell.exe_connections_info,powershell.exe_ionice,powershell.exe_nice,powershell.exe_num_handles,powershell.exe_num_page_faults,powershell.exe_other_count,powershell.exe_paged_pool,powershell.exe_pagefile,powershell.exe_peak_nonpaged_pool,powershell.exe_peak_pagefile,powershell.exe_peak_wset,powershell.exe_private,powershell.exe_read_bytes,powershell.exe_read_count,powershell.exe_rss,powershell.exe_system,powershell.exe_user,powershell.exe_vms,powershell.exe_write_bytes,powershell.exe_write_count,powershell.exe_wset,python.exe_connections_info,regsvr32.exe_num_handles,ruby.exe_connections_info,ruby.exe_num_handles,ruby.exe_paged_pool,ruby.exe_pagefile,ruby.exe_peak_nonpaged_pool,ruby.exe_peak_paged_pool,ruby.exe_peak_pagefile,ruby.exe_peak_wset,rundll32.exe_num_handles,services.exe_connections_info,services.exe_memory_percent,services.exe_nonpaged_pool,services.exe_num_handles,services.exe_paged_pool,services.exe_pagefile,services.exe_peak_nonpaged_pool,services.exe_peak_pagefile,services.exe_peak_wset,sihost.exe_ionice,sihost.exe_num_handles,sihost.exe_paged_pool,sihost.exe_pagefile,sihost.exe_peak_nonpaged_pool,sihost.exe_peak_pagefile,sihost.exe_peak_wset,smss.exe_pagefile,smss.exe_peak_pagefile,smss.exe_peak_wset,smss.exe_rss,smss.exe_system,spoolsv.exe_connections_info,spoolsv.exe_num_handles,spoolsv.exe_paged_pool,spoolsv.exe_pagefile,spoolsv.exe_peak_nonpaged_pool,spoolsv.exe_peak_pagefile,spoolsv.exe_peak_wset,spoolsv.exe_system,spoolsv.exe_user,suspecious_name_cnt,taskhostw.exe_ionice,taskhostw.exe_num_handles,taskhostw.exe_paged_pool,taskhostw.exe_peak_wset,wininit.exe_connections_info,wininit.exe_num_handles,wininit.exe_paged_pool,wininit.exe_pagefile,wininit.exe_peak_nonpaged_pool,wininit.exe_peak_pagefile,wininit.exe_peak_wset,wininit.exe_rss,wininit.exe_system,wininit.exe_user,winlogon.exe_num_handles,winlogon.exe_paged_pool,winlogon.exe_pagefile,winlogon.exe_peak_nonpaged_pool,winlogon.exe_peak_pagefile,winlogon.exe_peak_wset,winlogon.exe_system,winlogon.exe_user,date_time
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32645120,95,0,127900,130949120,1389520,0,7589,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3425,810520,29429760,80,0,54840,0,3305,1468880,60252160,115,0,184420,6537216,0,7752,7397376,1718750.0,0,2287,702240,28897280,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,731640,14540800,70,0,133660,0.0,0,2022-09-21 11:22:44-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32645120,95,0,127900,130949120,1389520,0,9102,1019184,56229888,186,0,0,143400,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4110,972624,35315712,96,0,65808,0,3305,1469776,60252160,115,0,184420,5447680,0,6460,6164480,-1718750.0,0,2285,702240,28897280,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,984,462720,8724480,84,0,43824,42835968,468750.0,0,1644,877968,17448960,84,0,160392,4531250.0,0,2022-09-21 11:22:46-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32649216,95,0,127900,130949120,1389520,0,7573,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,810520,28577792,80,0,54840,0,3305,1469104,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2285,702240,28897280,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,-468750.0,0,1370,732024,14852096,70,0,133660,-4531250.0,0,2022-09-21 11:22:48-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32665600,95,0,127900,130949120,1389520,0,7565,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1468880,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2285,702240,28897280,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:22:50-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32665600,95,0,127900,130949120,1389520,0,7581,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1468880,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2285,702240,28897280,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:22:52-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32665600,95,0,127900,130949120,1389520,0,7598,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1469104,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2277,702240,28336128,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:22:54-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2875,1275840,32665600,95,0,127900,130949120,1389520,0,7595,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1468880,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2730,842688,33914880,204,0,98688,1250000.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:22:56-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2877,1275840,32665600,95,0,127900,130949120,1389520,0,7583,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1468880,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2275,702240,28262400,170,0,82240,-1250000.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:22:58-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2880,1275840,32665600,95,0,127900,130949120,1389520,0,7569,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28205056,80,0,54840,0,3287,1467440,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2275,702240,28262400,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:23:00-07:00
1410,539184,17891328,0,0,60528,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2880,1275840,32665600,95,0,127900,130949120,1389520,0,7578,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28311552,80,0,54840,0,3293,1467920,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2275,702240,28262400,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:23:02-07:00
1175,449320,14909440,0,0,50440,0,1824192,336,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2880,1275840,32665600,95,0,127900,130949120,1389520,0,7580,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1469328,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2275,702240,28262400,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:23:04-07:00
1175,449320,14909440,0,0,50440,0,1520160,280,3010,1020160,36392960,140,0,121920,8033040,0.0,0,20480,0.0,0,0,885,744640,10199040,0,53200,54251520,0.0,0,525,0,0,44600,0,6150,4650600,188702720,0,522800,0.0,0,210,0,0,0,2880,1275840,32661504,95,0,127900,130949120,1389520,0,7576,849320,46858240,155,0,0,119500,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395,810520,28364800,80,0,54840,0,3305,1469328,60252160,115,0,184420,5447680,0,6460,6164480,0.0,0,2275,702240,28262400,170,0,82240,0.0,0,0,0,1685,1057120,114780,0,820,385600,7270400,70,0,36520,35696640,0.0,0,1370,732120,14929920,70,0,133660,0.0,0,2022-09-21 11:23:06-07:00
